periodo_orbital,duracion_transito,profundidad,pl_radio,insolacion,st_radio,st_temperatura,st_gravedad,pl_temperatura_eq,RA,DEC,mission,object_id,label
4.311780262,2.7251,1154.0,3.11,274.84,0.927,5527.0,4.484,1038.0,287.24268,42.301369,Kepler,K00864.01,CONFIRMED
20.0504494,4.556,840.9,2.69,35.44,0.927,5527.0,4.484,622.0,287.24268,42.301369,Kepler,K00864.02,CONFIRMED
9.76734503,1.6585,569.1,2.67,92.46,0.927,5527.0,4.484,791.0,287.24268,42.301369,Kepler,K00864.03,CONFIRMED
119.0207044,8.1405,7430.5,8.98,4.25,1.062,5453.0,4.342,366.0,291.58377,42.36816,Kepler,K00865.01,CANDIDATE
190.3200468,15.284,1141.7,7.78,7.8,2.057,5626.0,3.907,426.0,294.55917,46.062328,Kepler,K00119.02,CONFIRMED
2.861159894,1.8832,1014.3,4.37,797.1,1.021,6126.0,4.458,1355.0,291.67172,42.343109,Kepler,K00866.01,FALSE POSITIVE
26.44439337,3.9783,1843.5,3.91,23.54,0.929,5427.0,4.463,562.0,292.87338,42.966141,Kepler,K00880.01,CONFIRMED
51.53997972,6.3994,3644.3,5.51,9.67,0.929,5427.0,4.463,450.0,292.87338,42.966141,Kepler,K00880.02,CONFIRMED
5.902245782,2.9003,702.3,2.43,173.74,0.929,5427.0,4.463,926.0,292.87338,42.966141,Kepler,K00880.03,CONFIRMED
2.382951591,1.8876,391.6,1.86,583.01,0.929,5427.0,4.463,1253.0,292.87338,42.966141,Kepler,K00880.04,CONFIRMED
21.02250608,4.1072,1772.5,3.07,17.48,0.75,5067.0,4.585,521.0,294.90973,42.935261,Kepler,K00881.01,CONFIRMED
